ID,Тип,Артикул,Ім'я,Опубліковано,Рекомендовано?,Видимість в каталозі,Короткий опис,Опис,Початок акції,Завершення акції,Статус податку,Клас податку,В наявності?,Запас,Низька кількість запасів,Дозволити резервування?,Продавати окремо?,Вага (kg),Довжина (cm),Ширина (cm),Висота (cm),Дозволити відгуки?,Примітка до покупки,Ціна зі знижкою,Звичайна ціна,Категорії,Позначки,Клас доставки,Зображення,Ліміт завантажень,Число днів до закінчення Завантаження,Предок,Згруповані товари,Над продажі,Супутні товари,Зовнішній URL,Текст кнопки,Положення,Назва 1 атрибуту,1 значення атрибуту,Атрибут 1 видимий,Атрибут 1 глобальний,Назва 2 атрибуту,2 значення атрибуту,Атрибут 2 видимий,Атрибут 2 глобальний,Мета ідентифікатор :ocean_sidebar,Мета ідентифікатор :ocean_second_sidebar,Мета ідентифікатор :ocean_disable_margins,Мета ідентифікатор :ocean_display_top_bar,Мета ідентифікатор :ocean_display_header,Мета ідентифікатор :ocean_center_header_left_menu,Мета ідентифікатор :ocean_custom_header_template,Мета ідентифікатор :ocean_header_custom_menu,Мета ідентифікатор :ocean_menu_typo_font_family,Мета ідентифікатор :ocean_disable_title,Мета ідентифікатор :ocean_disable_heading,Мета ідентифікатор :ocean_disable_breadcrumbs,Мета ідентифікатор :ocean_display_footer_widgets,Мета ідентифікатор :ocean_display_footer_bottom,Мета ідентифікатор :ocean_custom_footer_template,Мета ідентифікатор :_wpml_media_featured,Мета ідентифікатор :_wc_product_documents_title,Мета ідентифікатор :_wc_product_documents_display,Мета ідентифікатор :_wpml_word_count,Мета ідентифікатор :_yoast_wpseo_primary_product_cat,Мета ідентифікатор :osh_disable_topbar_sticky,Мета ідентифікатор :osh_disable_header_sticky,Мета ідентифікатор :osh_sticky_header_style,Мета ідентифікатор :_wpml_media_duplicate,Мета ідентифікатор :_yoast_wpseo_focuskw,Мета ідентифікатор :_yoast_wpseo_linkdex,Мета ідентифікатор :_yoast_wpseo_content_score,Мета ідентифікатор :_yoast_wpseo_focuskeywords,Мета ідентифікатор :_yoast_wpseo_keywordsynonyms,Мета ідентифікатор :_wpml_media_has_media,Мета ідентифікатор :wbcr_wp_old_slug,Мета ідентифікатор :_wp_old_date,Мета ідентифікатор :_oembed_533515a706e016a9bb304a9772c907bb,Мета ідентифікатор :_oembed_time_533515a706e016a9bb304a9772c907bb,Атрибут 2 за замовчуванням,Мета ідентифікатор :_oembed_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :_oembed_time_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :ocean_post_title_style,Мета ідентифікатор :ocean_post_title_background,Мета ідентифікатор :ocean_post_title_bg_image_repeat,Мета ідентифікатор :ocean_post_title_bg_image_size,Мета ідентифікатор :ocean_post_title_bg_overlay,Мета ідентифікатор :ocean_post_title_bg_image_position,Мета ідентифікатор :_oembed_cf5fdf2a60f830e751fd1e288dbafa69,Мета ідентифікатор :_oembed_time_cf5fdf2a60f830e751fd1e288dbafa69,Назва 3 атрибуту,3 значення атрибуту,Атрибут 3 видимий,Атрибут 3 глобальний,Атрибут 3 за замовчуванням,Мета ідентифікатор :_oembed_86593aa9e750ff0f36a65e39973ef073,Мета ідентифікатор :_oembed_time_86593aa9e750ff0f36a65e39973ef073,Мета ідентифікатор :_oembed_b33ae0ea6d4e6f2962235e24f863946f,Мета ідентифікатор :_oembed_time_b33ae0ea6d4e6f2962235e24f863946f,Мета ідентифікатор :_oembed_86ffc6ca0f8f231f0b249032a7f5b2c7,Мета ідентифікатор :_oembed_time_86ffc6ca0f8f231f0b249032a7f5b2c7
542,variable,PC001,LEMON,1,0,visible,"<strong>Гель-паста до миття рук з запахом лимону </strong>
\n
\nКомпозиція пасти була розроблена таким чином, щоб відмінні миючі властивості супроводжуювалися м'якістю по відношенню до шкіри. Завдяки цьому LEMON знімає навіть важкі забруднення, одночасно забезпечуючи ідеальне зволоження рук.","Відмінний агент-паста-мало для миття рук. Видаляє бруд від масел, жирів та сажі.
\n
\n<strong>Паста для миття рук LEMON</strong> - чудовий засіб для видалення бруду з масел, жирів та сажі для працівників СТО та промисловості.
\n
\nКомпозиція пасти була розроблена таким чином, щоб відмінні миючі властивості супроводжуювалися м'якістю по відношенню до шкіри. Завдяки цьому LEMON знімає навіть важкі забруднення, одночасно забезпечуючи ідеальне зволоження рук.
\n
\n<strong>Увага! </strong>Використовувати на сухих руках.
\n
\nІнгредієнти пасти не шкідливі для навколишнього середовища і повністю розкладаються!
\nНе засмічує каналізаційну систему.
\n
\n<img src=""http://imagizer.imageshack.us/v2/280x200q90/923/ZuKDxz.png"" alt="""" />",,,taxable,,1,,,0,0,,,,,1,,,,"Промисловість > Мийки та СТО, Промисловість > Пасти для миття рук, Промисловість","Для рук, Промисловість",,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon-1.jpeg",,,,,,,,,0,Об'єм,"1 л, 10 л, 500 мл, 6 л",1,1,Бренд,Pro-Chem,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,1,Документація,yes,"{""total"":130,""to_translate"":{""ru"":130}}",,default,default,default,0,LEMON,36,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,variation,"PC001-0,5",LEMON - 500 мл,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,59.33,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon.jpg,,,PC001,,,,,,1,Об'єм,500 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":11,""to_translate"":{""ru"":11}}",,,,,1,,,,,,1,lemon-0-5-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
545,variation,PC001-1,LEMON - 1 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,111.44,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon.jpg,,,PC001,,,,,,2,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,lemon-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
546,variation,PC001-10,LEMON - 10 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,816.75,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon-1.jpeg,,,PC001,,,,,,3,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,lemon-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
547,variation,PC001-6,LEMON - 6 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,534.6,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon-1.jpeg,,,PC001,,,,,,4,Об'єм,6 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,lemon-6-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
554,variable,PC019,TRUCK STRONG,1,0,visible,"<strong>Висококонцентрований засіб для миття вантажних автомобілів</strong>
\n
\nДвофазний лужний продукт для безконтактного миття вантажних автомобілів, цистерн, сільськогосподарських машин та контейнерів. Розчиняє навіть найважчий бруд (жир, олії, мастила, сажу), не руйнуючи очищену поверхню.","<strong>TRUCK STRONG</strong> - це двофазний лужний продукт для безконтактного миття вантажівок, цистерн, сільськогосподарських машин та контейнерів. Засіб також добре діє для чищення механічних компонентів, таких як двигуни та трансмісії.
\n
\nTRUCK STRONG розчиняє навіть найважчий бруд (жир, олії, мастила, сажу), не руйнуючи очищену поверхню.
\n
\n&nbsp;
\n<h3><strong>Використання:</strong></h3>
\nЗалежно від ступеня забруднення, потрібно використовувати робочий розчин препарату з концентрацією:
\n
\n5 - 10% миття під тиском (від 50 - 100 мл препарату на 1 л води)
\n
\nДля посилення ефекту його можна використовувати з гарячою водою.
\n
\n&nbsp;
\n
\n<strong>TRUCK STRONG- НАЙБІЛЬШ ЕФЕКТИВНИЙ КОНЦЕНТРАТ</strong>
\n
\n<strong>Увага!</strong> Не допускати висихання засобу на чищеній поверхні. Не використовувати на гарячих поверхнях.",,,taxable,,1,,,0,0,,,,,1,,,,"Промисловість > Мийки та СТО, Промисловість > Миття транспорту, Промисловість","автокосметика, миття, Промисловість, шини та диски",,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg",,,,,"PC006, PC018, PC007","id:908, PC001, FOR05",,,0,Бренд,Pro-Chem,1,1,Об'єм,"1 л, 10 л, 22 л, 2х22 л, 5 л",1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":140,""to_translate"":{""ru"":140}}",,default,default,default,1,TRUCK STRONG,40,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
557,variation,PC019-22-2,TRUCK STRONG - 2х22 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,3415.43,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg,,,PC019,,,"id:908, PC001, FOR05",,,2,Об'єм,2х22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-2%d1%8522-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
558,variation,PC019-5,TRUCK STRONG - 5 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,645.98,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg,,,PC019,,,"id:908, PC001, FOR05",,,3,Об'єм,5 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-5-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
559,variation,PC019-1,TRUCK STRONG - 1 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,118.8,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG.jpg,,,PC019,,,"id:908, PC001, FOR05",,,4,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
560,variation,PC019-10,TRUCK STRONG - 10 л,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,980.1,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg,,,PC019,,,"id:908, PC001, FOR05",,,5,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,,,
