Артикул,Ім'я,Короткий опис,Опис,Початок акції,Завершення акції,Категорії,Згруповані товари,Над продажі,Супутні товари,Зовнішній URL,Текст кнопки,Положення,Мета ідентифікатор :ocean_sidebar,Мета ідентифікатор :ocean_second_sidebar,Мета ідентифікатор :ocean_disable_margins,Мета ідентифікатор :ocean_display_top_bar,Мета ідентифікатор :ocean_display_header,Мета ідентифікатор :ocean_center_header_left_menu,Мета ідентифікатор :ocean_custom_header_template,Мета ідентифікатор :ocean_header_custom_menu,Мета ідентифікатор :ocean_menu_typo_font_family,Мета ідентифікатор :ocean_disable_title,Мета ідентифікатор :ocean_disable_heading,Мета ідентифікатор :ocean_disable_breadcrumbs,Мета ідентифікатор :ocean_display_footer_widgets,Мета ідентифікатор :ocean_display_footer_bottom,Мета ідентифікатор :ocean_custom_footer_template,Мета ідентифікатор :_wpml_media_featured,Мета ідентифікатор :_wc_product_documents_title,Мета ідентифікатор :_wc_product_documents_display,Мета ідентифікатор :_wpml_word_count,Мета ідентифікатор :_yoast_wpseo_primary_product_cat,Мета ідентифікатор :osh_disable_topbar_sticky,Мета ідентифікатор :osh_disable_header_sticky,Мета ідентифікатор :osh_sticky_header_style,Мета ідентифікатор :_wpml_media_duplicate,Мета ідентифікатор :_yoast_wpseo_focuskw,Мета ідентифікатор :_yoast_wpseo_linkdex,Мета ідентифікатор :_yoast_wpseo_content_score,Мета ідентифікатор :_yoast_wpseo_focuskeywords,Мета ідентифікатор :_yoast_wpseo_keywordsynonyms,Мета ідентифікатор :_wpml_media_has_media,Мета ідентифікатор :wbcr_wp_old_slug,Мета ідентифікатор :_wp_old_date,Мета ідентифікатор :_oembed_533515a706e016a9bb304a9772c907bb,Мета ідентифікатор :_oembed_time_533515a706e016a9bb304a9772c907bb,Мета ідентифікатор :_oembed_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :_oembed_time_bfb8e4d53f7029a37bc2ec572bb20b50,Мета ідентифікатор :ocean_post_title_style,Мета ідентифікатор :ocean_post_title_background,Мета ідентифікатор :ocean_post_title_bg_image_repeat,Мета ідентифікатор :ocean_post_title_bg_image_size,Мета ідентифікатор :ocean_post_title_bg_overlay,Мета ідентифікатор :ocean_post_title_bg_image_position,Мета ідентифікатор :_oembed_cf5fdf2a60f830e751fd1e288dbafa69,Мета ідентифікатор :_oembed_time_cf5fdf2a60f830e751fd1e288dbafa69,Мета ідентифікатор :_oembed_86593aa9e750ff0f36a65e39973ef073,Мета ідентифікатор :_oembed_time_86593aa9e750ff0f36a65e39973ef073
PC001,LEMON,"<strong>Гель-паста до миття рук з запахом лимону </strong>
\n
\nКомпозиція пасти була розроблена таким чином, щоб відмінні миючі властивості супроводжуювалися м'якістю по відношенню до шкіри. Завдяки цьому LEMON знімає навіть важкі забруднення, одночасно забезпечуючи ідеальне зволоження рук.","Відмінний агент-паста-мало для миття рук. Видаляє бруд від масел, жирів та сажі.
\n
\n<strong>Паста для миття рук LEMON</strong> - чудовий засіб для видалення бруду з масел, жирів та сажі для працівників СТО та промисловості.
\n
\nКомпозиція пасти була розроблена таким чином, щоб відмінні миючі властивості супроводжуювалися м'якістю по відношенню до шкіри. Завдяки цьому LEMON знімає навіть важкі забруднення, одночасно забезпечуючи ідеальне зволоження рук.
\n
\n<strong>Увага! </strong>Використовувати на сухих руках.
\n
\nІнгредієнти пасти не шкідливі для навколишнього середовища і повністю розкладаються!
\nНе засмічує каналізаційну систему.
\n
\n<img src=""http://imagizer.imageshack.us/v2/280x200q90/923/ZuKDxz.png"" alt="""" />",,,"Промисловість > Мийки та СТО, Промисловість > Пасти для миття рук, Промисловість",,,,,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,1,Документація,yes,"{""total"":130,""to_translate"":{""ru"":130}}",,default,default,default,0,LEMON,36,90,,,,,,,,,,,,,,,,,,,
PC019,TRUCK STRONG,"<strong>Висококонцентрований засіб для миття вантажних автомобілів</strong>
\n
\nДвофазний лужний продукт для безконтактного миття вантажних автомобілів, цистерн, сільськогосподарських машин та контейнерів. Розчиняє навіть найважчий бруд (жир, олії, мастила, сажу), не руйнуючи очищену поверхню.","<strong>TRUCK STRONG</strong> - це двофазний лужний продукт для безконтактного миття вантажівок, цистерн, сільськогосподарських машин та контейнерів. Засіб також добре діє для чищення механічних компонентів, таких як двигуни та трансмісії.
\n
\nTRUCK STRONG розчиняє навіть найважчий бруд (жир, олії, мастила, сажу), не руйнуючи очищену поверхню.
\n
\n&nbsp;
\n<h3><strong>Використання:</strong></h3>
\nЗалежно від ступеня забруднення, потрібно використовувати робочий розчин препарату з концентрацією:
\n
\n5 - 10% миття під тиском (від 50 - 100 мл препарату на 1 л води)
\n
\nДля посилення ефекту його можна використовувати з гарячою водою.
\n
\n&nbsp;
\n
\n<strong>TRUCK STRONG- НАЙБІЛЬШ ЕФЕКТИВНИЙ КОНЦЕНТРАТ</strong>
\n
\n<strong>Увага!</strong> Не допускати висихання засобу на чищеній поверхні. Не використовувати на гарячих поверхнях.",,,"Промисловість > Мийки та СТО, Промисловість > Миття транспорту, Промисловість",,"PC006, PC018, PC007","A171, PC001, FOR05",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":140,""to_translate"":{""ru"":140}}",,default,default,default,1,TRUCK STRONG,40,90,,,1,,,,,,,,,,,,,,,,
PC018,DPF CLEANER,"<strong>Рідина для чистки DPF i EGR елементів</strong>
\nПризначений, для чищення сажевого фільтра (DPF / FAP) та клапану EGR.
\nВидаляє смолу, сажу і золу, покращуючи роботу автомобіля із дизельним двигуном.","<strong>DPF CLEANER</strong> - засіб для очищення фільтрів дизельних частинок (DPF / FAP) та клапанів EGR.
\n
\nВимиває смолу, сажу і попіл, створені під час використання дизельного автомобіля.
\n
\n&nbsp;
\n<h3><strong>Використання:</strong></h3>
\nРозібраний фільтр потрібно пропитати в рідині протягом тривалого часу - в ідеалі близько 8 годин. Потім ретельно промити водою, щоб видалити всі домішки. Щоб досягти кращих результатів - прополоскати водою. У разі серйозного забруднення дію необхідно повторити, збільшуючи час контакту з препаратом.
\n
\nЗасіб готовий до використання, не вимагає розведення.
\n
\nЗалежно від розміру фільтра, для ретельної очистки потрібно приблизно 2 літри рідини.",,,"Промисловість > Мийки та СТО, Промисловість",,"PC004, PC007, PC019","PC006, N275, PC010",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":127,""to_translate"":{""ru"":127}}",,default,default,default,1,DPF CLEANER,40,90,,,1,,,,,,,,,,,,,,,,
PC007,TRUCK,"<strong>Багатофункціональний миючий засіб</strong>
\nВідмінний миючий засіб, призначений для очищення всіх промислових поверхонь, стійких до лужного середовища.
\nІдеально підходить для: автомобільних брезентів, виробничих цехів, автомайстерень, а також транспортних засобів (автобусів, трамваїв, залізничних вагонів)","Концентрований миючий засіб, призначений для очищення всіх промислових поверхонь, стійких до лужного середовища.
\n
\nІдеально підходить для прибирання:
\n<ul>
\n 	<li>автомобільних брезентів</li>
\n 	<li>виробничих залів</li>
\n 	<li>автомайстерень</li>
\n 	<li>автомобілей та транспортних засобів (автобуси, трамваї, залізничні вагони).</li>
\n</ul>
\nTRUCK розроблений головним чином для використання в автомобільній промисловості. Для чищення брезентів, автомобільних деталей, промислових підлог, автомобільних елементів.
\nВидаляє навіть застарілий бруд, такий як дорожній бруд, мастильні матеріали, масла, жири, сажу і т. Д.
\n
\n<strong>Використання:</strong>
\n
\nЗалежно від ступеня забруднення, використовувати робочий розчин препарату з концентрацією:
\n
\n• 5 - 10% миття під тиском (від 50 - 100 мл препарату на 1 л води)
\n
\n<strong>TRUCK - ЕФЕКТИВНИЙ КОНЦЕНТАТ</strong>
\n
\n<strong>Увага! </strong>Не допускати висихання засобу на очищеній поверхні.
\n
\nНе використовувати на розігрітих поверхнях.",,,"Промисловість > Миття транспорту, Промисловість",,"PC006, PC002, PC019","PC001, PC008, PC009",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":149,""to_translate"":{""ru"":149}}",,default,default,default,1,TRUCK,48,90,,,1,,,,,,,,,,,,,,,,
PC002,EKO,"<strong>Паста для миття рук</strong>
\nПаста для миття рук. Видаляє бруд від масел, жирів та сажі. Не викликає подразнення (рН = 5,5)
\nІнгредієнти пасти не шкідливі для навколишнього середовища і повністю розкладаються!","<strong>Паста для миття рук EKO</strong> - чудовий засіб для видалення бруду від масел, жирів та сажі. Композиція пасти була розроблена таким чином, що відмінні миючі властивості супроводжуються м'якістю по відношенню до шкіри рук та тіла.
\n
\nСпеціальні добавки зберігають кислотність пасти близькою до поверхні шкіри (рН = 5,5), а тому, паста не викликає подразнення.
\nІнгредієнти пасти не шкідливі для навколишнього середовища і повністю розкладаються!
\n
\n&nbsp;
\n
\n<img src=""http://imagizer.imageshack.us/v2/280x200q90/923/ZuKDxz.png"" alt="""" />",,,"Промисловість > Пасти для миття рук, Промисловість",,"PC205, PC001, PC102, PC103","N262, B040",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":108,""to_translate"":{""ru"":108}}",,default,default,default,1,EKO,41,90,,,,,,,,,,,,,,,,,,,
PC010,MOTO CLEANER,"<strong>Рідина для очистки та миття двигунів</strong>
\nПродукт призначений для очищення двигунів. Не взаємодіє з алюмінієм, не змінює кольори пластику, не пошкоджує пломби та прокладки.
\nЕфективно видаляє масло, жир, та сажу.
\nЗасіб використовується в усіх механічних та автоматичних мийних пристроях високого тиску.","<strong>MOTO CLEANER </strong> ефективний чистячий засіб, склад якого розроблений спеціально для використання в автомобільній промисловості.
\n
\nПризначений для миття тягових компонентів автомобілів, таких як:
\n<ul>
\n 	<li>двигун</li>
\n 	<li>кузов</li>
\n 	<li>диски</li>
\n 	<li>деталі з алюмінію та пластику</li>
\n</ul>
\nЕфективно видаляє бруд з масел, змащень, жирів та сажі.
\n
\n&nbsp;
\n
\n<strong>Не реагує з алюмінієм та іншими металами, не залишає плями на пластмасі, не пошкоджує пломби та електричні дроти.</strong>
\nЗасіб може бути використаний у всіх механічних та тискових пристроях для миття.
\n
\n&nbsp;
\n<h3><strong>Використання:</strong></h3>
\nMOTO CLEANER призначений для прямого використання без розведення. Препарат слід наносити на поверхню, яку слід чистити, за допомогою будь-якого розпилювача, потрібно почекати кілька хвилин, після чого промити водою.
\n
\nУ випадку дуже сильно забруднених поверхонь потрібно повторити процес. Можна також використовувати механічні засоби, наприклад, щітку. <em>MOTO CLEANER</em> можна використовувати у вигляді так званої активної піни. Використання композиції у цій формі полегшує очищення вертикальних поверхонь, подовжує час контакту препарату з поверхнею та запобігає його висиханню перед промиванням водою.
\n
\n&nbsp;
\n
\n<strong>Увага!</strong> Не допускати висихання засобу на чищеній поверхні.
\n
\nНе використовувати на розігрітих поверхнях.
\n
\n&nbsp;
\n
\n<img src=""http://imagizer.imageshack.us/v2/640x480q90/922/NwEvii.png"" />
\n
\n<strong>Засіб повністю біологічно розкладається.</strong>",,,"Автокосметика, Промисловість > Мийки та СТО, Автокосметика > Обслуговування, Автокосметика > Обслуговування > Промивка двигуна, Промисловість",,"PC018, PC005, PC214","PC018, N275, PC008",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":223,""to_translate"":{""ru"":223}}",,default,default,default,1,MOTO CLEANER,51,90,,,1,,,,,,,,,,,,,,,,
PC013,BRAKE CLEANER,"<strong>Очищувач для гальмівної системи авто</strong>
\nУніверсальний засіб для миття та знежирення гальм. Він видаляє змазки, масла, сажу, віск і т. д. Не залишає відкладень та плям, швидко випаровується.","<strong>BRAKE CLEANER</strong>- це універсальний агент для чищення та знежирення гальмівної системи автомобіля.
\n
\nВидаляє запечені та примащені мастила, не пошкоджує гумові та пластмасові деталі, не викликає корозії.
\n
\nПрепарат може використовуватися для:
\n<ul>
\n 	<li>знежирення дисків гальма і зчеплення</li>
\n 	<li>змивання мастил, що використовуються для антикорозійного обслуговування</li>
\n 	<li>чищення автомобільних деталей</li>
\n</ul>
\n<em>BRAKE CLEANER</em> не залишає нальотів і плям, видаляє змазки, масла, сажу, віск і т. д.
\n
\nВимиває бруд із важкодоступних місць, швидко випаровується.",,,"Промисловість > Мийки та СТО, Промисловість",,"PC018, PC005, PC010","PC002, PC005, PC001",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":109,""to_translate"":{""ru"":109}}",,default,default,default,1,BRAKE CLEANER,41,90,,,1,,,,,,,,,,,,,,,,
PC005,FLAT EXPERT,"<strong>Концентрат для миття промислових підлог</strong>
\nПродукт призначений для очищення всіх поверхонь, стійких до лужного середовища.
\n
\nЙого склад забезпечує відмінне змочування очищених поверхонь та ефективне емульгування бруду. Дуже легко видаляє бруд (масло, олію, жир). Розроблений для промислових сервісних служб із використаням механічного інструментарію та обладнання для миття під тиском.
\n
\n&nbsp;","<strong>FLAT EXPERT</strong> - засіб, призначений для миття всіх поверхонь, стійких до лужного середовища.
\n
\nЛегко видаляє бруд із маслами, жирами та мастилами. Залишає приємний, свіжий аромат. Засіб був розроблений для очищення сервісних служб, використовуючи всі механічні та мийні пристрої.
\n<h3><strong>Використання:</strong></h3>
\nКонцентрат повинен бути розбавлений холодною водою у відношенні:
\n<ul>
\n 	<li>1: 5 - 1: 100 - найпоширеніший робочий розчин</li>
\n</ul>
\nКонцентрація розчину залежить від ступеня забруднення підлоги.
\nРозчин слід наносити на поверхню, яку треба чистити, залишити на 3 - 5 хвилин, потім зібрати за допомогою скребка або промити водою.
\n<h3><strong>FLAT EXPERT - ЕФЕКТИВНИЙ КОНЦЕНТРАТ.</strong></h3>",,,"Промисловість > Мийки та СТО, Промисловість",,"PC006, PC004, PC009","N275, PC212, PC022",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":146,""to_translate"":{""ru"":146}}",,default,default,default,1,FLAT EXPERT,44,90,,,1,,,,,,,,,,,,,,,,
PC009,SUPER CLEAN,"<strong>Рідина для автоматизованого машинного миття підлоги</strong>
\nНизькопінний рідкий концентрат, призначений для машинного миття посадок. Використовується у пристроях для чищення та машинах високого тиску.","<strong>Super Clean</strong> - це низькопінний рідкий концентрат, призначений для машинного миття підлоги.
\nВикористовується в машинах для чищення та машинах високого тиску.
\n
\nІдеально підходить для очищення великих поверхонь:
\n<ul>
\n 	<li>складських залів;</li>
\n 	<li>гіпермаркетів;</li>
\n 	<li>комерційних будівель;</li>
\n 	<li>промислових об'єктів;</li>
\n 	<li>поверхонь, стійких до води та лужних препаратів, наприклад, бетоних.</li>
\n</ul>
\n<strong>Super Clean</strong>- засіб , що швидко сохне з антиковзаючими властивостями.
\nДає відчуття свіжості протягом дуже довгого часу.
\n
\n<strong>Використання:</strong>
\n
\nЗалежно від ступеня забруднення використовується концентрат 100 - 500 мл на 10 літрів води.",,,"Промисловість > Мийки та СТО, Промисловість > Миття підлоги, Промисловість",,"PC006, PC004, PC008","N275, N287, PC219",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":110,""to_translate"":{""ru"":110}}",,default,default,default,1,SUPER CLEAN,41,90,,,,,,,,,,,,,,,,,,,
PC015,WF STORM,"<strong>Рідина для циркуляційних мийок (постійна циркуляція)</strong>
\nОполіскувач практично без запаху, який дуже повільно випаровується з очищених поверхонь, завдяки чому він дозволяє максимально ретельно очистити поверхню. У замкнутій системі його можна використовувати повторно. продукт не залишає плям чи нальоту, не руйнує пластмаси чи лаковане покриття. На основі неароматизованих розчинників.","<strong>WF STORM</strong> - це засіб для змивання, який випаровується дуже повільно з очищених поверхонь, завдяки чому він ретельно очищає поверхню. У замкнутій системі його можна використовувати повторно. Засіб не залишає плям і нальоту, він не руйнує пластмаси та лакованих поверхонь. Практично без запаху, виготовлений на основі неароматизованих розчинників.
\n
\nПрепарат призначений для мийок замкнутої системи, найкраще для миття:
\n<ul>
\n 	<li>компонентів двигунів внутрішнього згоряння (карбюратори, дроселі)</li>
\n 	<li>елементів гальмівної системи</li>
\n 	<li>більшості хімічних препаратів, які важко видаляються</li>
\n 	<li>клейові залишки з самоклеючих наклейок.</li>
\n</ul>",,,"Промисловість > Мийки та СТО, Промисловість",,"PC013, PC018, PC005, PC008","PC002, PC001, PC010",,,0,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":136,""to_translate"":{""ru"":136}}",,default,default,default,0,WF STORM,41,90,,,1,,,,,,,,,,,,,,,,
