ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: ocean_sidebar,Meta: ocean_second_sidebar,Meta: ocean_disable_margins,Meta: ocean_display_top_bar,Meta: ocean_display_header,Meta: ocean_center_header_left_menu,Meta: ocean_custom_header_template,Meta: ocean_header_custom_menu,Meta: ocean_menu_typo_font_family,Meta: ocean_disable_title,Meta: ocean_disable_heading,Meta: ocean_disable_breadcrumbs,Meta: ocean_display_footer_widgets,Meta: ocean_display_footer_bottom,Meta: ocean_custom_footer_template,Meta: _wpml_media_featured,Meta: _wc_product_documents_title,Meta: _wc_product_documents_display,Meta: _wpml_word_count,Meta: _yoast_wpseo_primary_product_cat,Meta: osh_disable_topbar_sticky,Meta: osh_disable_header_sticky,Meta: osh_sticky_header_style,Meta: _wpml_media_duplicate,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_focuskeywords,Meta: _yoast_wpseo_keywordsynonyms,Meta: _wpml_media_has_media,Meta: wbcr_wp_old_slug,Meta: _wp_old_date,Meta: _oembed_533515a706e016a9bb304a9772c907bb,Meta: _oembed_time_533515a706e016a9bb304a9772c907bb,Meta: _oembed_bfb8e4d53f7029a37bc2ec572bb20b50,Meta: _oembed_time_bfb8e4d53f7029a37bc2ec572bb20b50,Meta: ocean_post_title_style,Meta: ocean_post_title_background,Meta: ocean_post_title_bg_image_repeat,Meta: ocean_post_title_bg_image_size,Meta: ocean_post_title_bg_overlay,Meta: ocean_post_title_bg_image_position,Meta: _oembed_cf5fdf2a60f830e751fd1e288dbafa69,Meta: _oembed_time_cf5fdf2a60f830e751fd1e288dbafa69,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Meta: _oembed_86593aa9e750ff0f36a65e39973ef073,Meta: _oembed_time_86593aa9e750ff0f36a65e39973ef073,Meta: _oembed_b33ae0ea6d4e6f2962235e24f863946f,Meta: _oembed_time_b33ae0ea6d4e6f2962235e24f863946f,Meta: _oembed_86ffc6ca0f8f231f0b249032a7f5b2c7,Meta: _oembed_time_86ffc6ca0f8f231f0b249032a7f5b2c7
542,simple,PC001,LEMON,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon-1.jpeg",,,,,,,,,0,Об'єм,,1,1,Бренд,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,1,Документація,yes,"{""total"":130,""to_translate"":{""ru"":130}}",,default,default,default,0,LEMON,36,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,variation,"PC001-0,5",LEMON - 500 мл,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,59.33,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon.jpg,,,PC001,,,,,,1,Об'єм,500 мл,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":11,""to_translate"":{""ru"":11}}",,,,,1,,,,,,1,lemon-0-5-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
545,variation,PC001-1,LEMON - 1 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,111.44,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon.jpg,,,PC001,,,,,,2,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,lemon-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
546,variation,PC001-10,LEMON - 10 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,816.75,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon-1.jpeg,,,PC001,,,,,,3,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,lemon-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
547,variation,PC001-6,LEMON - 6 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,534.6,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/lemon-1.jpeg,,,PC001,,,,,,4,Об'єм,6 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":10,""to_translate"":{""ru"":10}}",,,,,1,,,,,,1,lemon-6-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
554,simple,PC019,TRUCK STRONG,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG.jpg, https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg",,,,,"PC006, PC018, PC007","id:908, PC001, FOR05",,,0,Бренд,,1,1,Об'єм,,1,1,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,0,Документація,yes,"{""total"":140,""to_translate"":{""ru"":140}}",,default,default,default,1,TRUCK STRONG,40,90,,,1,,,,,,,,,,,,,,,,,,,,,,,,
557,variation,PC019-22-2,TRUCK STRONG - 2х22 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,3415.43,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg,,,PC019,,,"id:908, PC001, FOR05",,,2,Об'єм,2х22 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-2%d1%8522-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
558,variation,PC019-5,TRUCK STRONG - 5 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,645.98,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg,,,PC019,,,"id:908, PC001, FOR05",,,3,Об'єм,5 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-5-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
559,variation,PC019-1,TRUCK STRONG - 1 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,118.8,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG.jpg,,,PC019,,,"id:908, PC001, FOR05",,,4,Об'єм,1 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-1-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
560,variation,PC019-10,TRUCK STRONG - 10 л,1,0,visible,,,taxable,parent,1,,,0,0,,,,,0,,,980.1,,,,https://www.pro-chem.com.ua/wp-content/uploads/2019/08/TRUCK-STRONG-1.jpg,,,PC019,,,"id:908, PC001, FOR05",,,5,Об'єм,10 л,,1,,,,,,,,,,,,,,,,,,,,1,,,"{""total"":12,""to_translate"":{""ru"":12}}",,,,,1,,,,,,1,auto-draft-10-%d0%bb,,,,,,,,,,,,,,,,,,,,,,,
