Name,,Qtt,Price
"Губка для миття (жовта, універсальна) (шт.)",GB1,7,52
Губка для миття з мікроволокна (шт.),GB2,5,81
Кий алюмінєвий універсальний 130 см (шт.),KAL,3,148
Насадка на щітку жовта NEW PROFI 300 (2-площини) (шт.),NPK1,2,208
Насадка на щітку NEW PROFI 300 (4-площини) (шт.),NPK2,1,261
Насос дозувальний металевий 5L (шт.),POM2,1,353
Папір туалет. 3-шаровий BUNNY SOFT FINESSE (шт.),PT1,0,8
Пензлик DETAIL BRUSH 12  30 mm (шт.),A171,3,112
Рукавиці захисні PERFECT GRIP латексні червоні (розмір: 9) (шт.),RPGR9,4,32
Рукавиці захисні PURE поліуретанові чорні (розмір: 10) (шт.),RPB10,1,24
Рукавиця з мікрофібри (шт.),N290,2,232
Рушник з мікроволокном PRO 420 g/m2 50 x 50 см (шт.),PCz,0,123
Рушник з мікрофібри 32 x 32 (шт.),FIB01,3,20
Рушник з мікрофібри 40 x 40 PERFECT GLASS 240 g/m2 (шт.),N256,14,45
Рушник з мікрофібри 50 x 60 PRO 320 g/m2 (шт.),FIB04,2,98
Рушник з мікрофібри жовтий 40 x 40 PROFESSIONAL BS 330 g/m2 (шт.),N287,7,72
Рушник з мікрофібри оранж. 50 x 60  240 g/m2 (шт.),N253,9,63
Рушник з мікрофібри синій 30x30 PROFESSIONAL 320 g/m2 (шт.),N250,5,29
Рушник з мікрофібри синій 40 x 40 PROFESSIONAL BS 320 g/m2 (шт.),N241,0,273
Рушник з мікрофібри синій FLUFFY 60 x 90 cm (шт.),N275,5,312
Рушник паперовий (300 шт.) BUNNY SOFT JUMBO (шт.),RK1,9,54
Рушник паперовий промисловий синій (300 м) (шт.),CZ02,0,225
Рушники паперові зелені ZET-ZET (200 шт) (шт.),ZET2,0,15
Стягачка води силіконова без ручки (шт.),SIL2,6,201
Стягачка води силіконова з ручкою (шт.),SIL1,5,119
Стягачка металева 60см (шт.),ZG60,2,220
Стягачка металева 80см (шт.),ZG80,2,312
Щітка + кий телескоп. 300 cm NEW PROFI 300 (шт.),NP300,2,643
Щітка для миття автомобіля м'ягка CAMBER SOFT (шт.),SZCS,7,193
Щітка для миття вікон з києм (шт.),SZK60,1,245
Щітка для миття вікон телескопічна (шт.),MKT,2,266
Щітка для шкіри натуральна (шт.),B040,0,96
ЩІтка для щищення поверхонь DETAIL EXPERT (шт.),A160,4,72
Щітка колісна довга 7 x 50 cm (шт.),SZD50,5,145
Щітка колісна кругла 29 см (шт.),SZO29,3,102
Щітка синтетична + кий телескоп. 100-170 cm NEW PROFI 170 (шт.),NP170,2,509
"Щітка-стягачка 2 в 1, 35см для підлоги (шт.)",SZG35,1,288
AGRO 10L Активна піна для миття агро-техніки (шт.),PC301-10,1,1566
